Sentença,Intenção,Normalização,Tokenização,Remoção_Stopwords,Lematização,GloVe,Word2Vec_CBOW,Word2Vec_Skip,FastText_CBOW,FastText_Skip,Votos,Eleito,Intenção_correspondente
o que fazer para ganhar mais dinheiro?,aumento_producao,o que fazer para ganhar mais dinheiro?,"['o', 'que', 'fazer', 'para', 'ganhar', 'mais', 'dinheiro']","['fazer', 'ganhar', 'dinheiro']","['fazer', 'ganhar', 'dinheiro']",43.0,43.0,43.0,43.0,43.0,5,43.0,aumento_producao
quero produzir mais,aumento_producao,quero produzir mais,"['quero', 'produzir', 'mais']","['quero', 'produzir']","['querer', 'produzir']",128.0,128.0,179.0,128.0,128.0,4,128.0,producao_organica
qual é a utilização de produtos orgânicos?,producao_organica,qual é a utilização de produtos orgânicos?,"['qual', 'é', 'a', 'utilização', 'de', 'produtos', 'orgânicos']","['utilização', 'produtos', 'orgânicos']","['utilização', 'produto', 'orgânico']",177.0,177.0,138.0,177.0,177.0,4,177.0,uso_produtos
qual será a poluição com base em minhas ações?,previsao_poluicao,qual será a poluição com base em minhas ações?,"['qual', 'será', 'a', 'poluição', 'com', 'base', 'em', 'minhas', 'ações']","['poluição', 'base', 'ações']","['poluição', 'base', 'ações']",125.0,151.0,91.0,151.0,91.0,2,151.0,tratamento_ambiental
qual tratamento fazer?,tratamento_ambiental,qual tratamento fazer?,"['qual', 'tratamento', 'fazer']","['tratamento', 'fazer']","['tratamento', 'fazer']",155.0,155.0,157.0,63.0,157.0,2,155.0,tratamento_ambiental
conselho para alterar impostos,alteracao_taxa,conselho para alterar impostos,"['conselho', 'para', 'alterar', 'impostos']","['conselho', 'alterar', 'impostos']","['conselho', 'alterar', 'imposto']",1.0,1.0,1.0,1.0,1.0,5,1.0,alteracao_taxa
como está a poluição?,poluicao,como está a poluição?,"['como', 'está', 'a', 'poluição']",['poluição'],['poluição'],62.0,62.0,62.0,62.0,62.0,5,62.0,diminuicao_poluicao
aconselhamento na aplicação de tratamento,tratamento_ambiental,aconselhamento na aplicação de tratamento,"['aconselhamento', 'na', 'aplicação', 'de', 'tratamento']","['aconselhamento', 'aplicação', 'tratamento']","['aconselhamento', 'aplicação', 'tratamento']",162.0,162.0,10.0,151.0,156.0,2,162.0,tratamento_ambiental
aconselhamento para aumentar a produtividade,aumento_producao,aconselhamento para aumentar a produtividade,"['aconselhamento', 'para', 'aumentar', 'a', 'produtividade']","['aconselhamento', 'aumentar', 'produtividade']","['aconselhamento', 'aumentar', 'produtividade']",56.0,45.0,45.0,45.0,45.0,4,45.0,aumento_producao
sou empresário,apresentacao_agente_empresario,sou empresário,"['sou', 'empresário']",['empresário'],['empresário'],22.0,22.0,22.0,22.0,22.0,5,22.0,apresentacao_agente_empresario
tendência de selo verde,producao_organica,tendência de selo verde,"['tendência', 'de', 'selo', 'verde']","['tendência', 'selo', 'verde']","['tendência', 'selar', 'ver']",194.0,194.0,134.0,134.0,134.0,3,134.0,producao_organica
"oi, tudo bem e você?",apresentacao,"oi, tudo bem e você?","['oi', 'tudo', 'bem', 'e', 'você']","['oi', 'tudo', 'bem']","['oi', 'tudo', 'bem']",18.0,12.0,18.0,12.0,18.0,3,18.0,apresentacao
como estão a aplicação de multas na cidade?,multa,como estão a aplicação de multas na cidade?,"['como', 'estão', 'a', 'aplicação', 'de', 'multas', 'na', 'cidade']","['aplicação', 'multas', 'cidade']","['aplicação', 'multar', 'cidade']",79.0,79.0,79.0,79.0,79.0,5,79.0,multa
a que preço os empresários então vendendo os seus produtos?,precos,a que preço os empresários então vendendo os seus produtos?,"['a', 'que', 'preço', 'os', 'empresários', 'então', 'vendendo', 'os', 'seus', 'produtos']","['preço', 'empresários', 'então', 'vendendo', 'produtos']","['preço', 'empresário', 'então', 'vender', 'produto']",106.0,106.0,106.0,106.0,106.0,5,106.0,precos
quero saber a previsão de saldo para tomar decisões,previsao_saldo,quero saber a previsão de saldo para tomar decisões,"['quero', 'saber', 'a', 'previsão', 'de', 'saldo', 'para', 'tomar', 'decisões']","['quero', 'saber', 'previsão', 'saldo', 'tomar', 'decisões']","['querer', 'saber', 'previsão', 'saldar', 'tomar', 'decisão']",124.0,124.0,112.0,124.0,112.0,3,124.0,previsao_poluicao
quero uma ajuda para decidir o tratamento ambiental,tratamento_ambiental,quero uma ajuda para decidir o tratamento ambiental,"['quero', 'uma', 'ajuda', 'para', 'decidir', 'o', 'tratamento', 'ambiental']","['quero', 'ajuda', 'decidir', 'tratamento', 'ambiental']","['querer', 'ajudar', 'decidir', 'tratamento', 'ambiental']",160.0,160.0,160.0,160.0,160.0,5,160.0,tratamento_ambiental
tendências em relação as vendas,venda_aluguel,tendências em relação as vendas,"['tendências', 'em', 'relação', 'as', 'vendas']","['tendências', 'relação', 'vendas']","['tendência', 'relação', 'vender']",189.0,189.0,189.0,189.0,189.0,5,189.0,venda_aluguel
qual é a média de poluição emitida pelos produtores?,poluicao,qual é a média de poluição emitida pelos produtores?,"['qual', 'é', 'a', 'média', 'de', 'poluição', 'emitida', 'pelos', 'produtores']","['média', 'poluição', 'emitida', 'produtores']","['médio', 'poluição', 'emitir', 'produtor']",80.0,80.0,80.0,80.0,80.0,5,80.0,poluicao
quero saber das comercializações,venda_aluguel,quero saber das comercializações,"['quero', 'saber', 'das', 'comercializações']","['quero', 'saber', 'comercializações']","['querer', 'saber', 'comercialização']",194.0,194.0,194.0,194.0,194.0,5,194.0,venda_aluguel
tendência de utilização de produtos,uso_produtos,tendência de utilização de produtos,"['tendência', 'de', 'utilização', 'de', 'produtos']","['tendência', 'utilização', 'produtos']","['tendência', 'utilização', 'produto']",166.0,166.0,166.0,177.0,166.0,4,166.0,uso_produtos
o meu agente é empresário,apresentacao_agente_empresario,o meu agente é empresário,"['o', 'meu', 'agente', 'é', 'empresário']","['agente', 'empresário']","['agente', 'empresário']",25.0,25.0,30.0,30.0,25.0,3,25.0,apresentacao_agente_empresario
quero saber tendências de comercialização,venda_aluguel,quero saber tendências de comercialização,"['quero', 'saber', 'tendências', 'de', 'comercialização']","['quero', 'saber', 'tendências', 'comercialização']","['querer', 'saber', 'tendência', 'comercialização']",192.0,192.0,192.0,192.0,192.0,5,192.0,venda_aluguel
utilização de produtos nas parcelas de terra,uso_produtos,utilização de produtos nas parcelas de terra,"['utilização', 'de', 'produtos', 'nas', 'parcelas', 'de', 'terra']","['utilização', 'produtos', 'parcelas', 'terra']","['utilização', 'produto', 'parcelar', 'terra']",175.0,175.0,175.0,175.0,175.0,5,175.0,uso_produtos
como tem estado as produtividades?,produtividade,como tem estado as produtividades?,"['como', 'tem', 'estado', 'as', 'produtividades']","['estado', 'produtividades']","['estar', 'produtividade']",144.0,148.0,145.0,88.0,45.0,1,144.0,produtividade
ajuda para decidir o tratamento ambiental,tratamento_ambiental,ajuda para decidir o tratamento ambiental,"['ajuda', 'para', 'decidir', 'o', 'tratamento', 'ambiental']","['ajuda', 'decidir', 'tratamento', 'ambiental']","['ajudar', 'decidir', 'tratamento', 'ambiental']",153.0,153.0,153.0,153.0,153.0,5,153.0,tratamento_ambiental
quero saber a previsão de poluição para tomar decisões,previsao_poluicao,quero saber a previsão de poluição para tomar decisões,"['quero', 'saber', 'a', 'previsão', 'de', 'poluição', 'para', 'tomar', 'decisões']","['quero', 'saber', 'previsão', 'poluição', 'tomar', 'decisões']","['querer', 'saber', 'previsão', 'poluição', 'tomar', 'decisão']",127.0,127.0,127.0,127.0,127.0,5,127.0,
conselho para implementar tratamento ambiental,tratamento_ambiental,conselho para implementar tratamento ambiental,"['conselho', 'para', 'implementar', 'tratamento', 'ambiental']","['conselho', 'implementar', 'tratamento', 'ambiental']","['conselho', 'implementar', 'tratamento', 'ambiental']",158.0,158.0,158.0,158.0,158.0,5,158.0,tratamento_ambiental
eu desempenho o papel do agente vereador,apresentacao_agente_vereador,eu desempenho o papel do agente vereador,"['eu', 'desempenho', 'o', 'papel', 'do', 'agente', 'vereador']","['desempenho', 'papel', 'agente', 'vereador']","['desempenhar', 'papel', 'agente', 'vereador']",32.0,32.0,32.0,32.0,32.0,5,32.0,apresentacao_agente_prefeito
como estão sendo os aluguéis?,venda_aluguel,como estão sendo os aluguéis?,"['como', 'estão', 'sendo', 'os', 'aluguéis']","['sendo', 'aluguéis']","['ser', 'aluguel']",98.0,58.0,188.0,178.0,188.0,2,188.0,venda_aluguel
sou prefeito,apresentacao_agente_prefeito,sou prefeito,"['sou', 'prefeito']",['prefeito'],['prefeito'],20.0,20.0,20.0,28.0,20.0,4,20.0,apresentacao_agente_prefeito
qual é a poluição dos empresários?,poluicao,qual é a poluição dos empresários?,"['qual', 'é', 'a', 'poluição', 'dos', 'empresários']","['poluição', 'empresários']","['poluição', 'empresário']",83.0,83.0,83.0,83.0,83.0,5,83.0,poluicao
quais são as tendências para arrecadação de impostos?,arrecadacao_imposto,quais são as tendências para arrecadação de impostos?,"['quais', 'são', 'as', 'tendências', 'para', 'arrecadação', 'de', 'impostos']","['quais', 'tendências', 'arrecadação', 'impostos']","['qual', 'tendência', 'arrecadação', 'imposto']",36.0,36.0,36.0,41.0,36.0,4,36.0,arrecadacao_imposto
tendência de compras,uso_produtos,tendência de compras,"['tendência', 'de', 'compras']","['tendência', 'compras']","['tendência', 'comprar']",189.0,189.0,189.0,189.0,189.0,5,189.0,venda_aluguel
dicas em relação a produção,aumento_producao,dicas em relação a produção,"['dicas', 'em', 'relação', 'a', 'produção']","['dicas', 'relação', 'produção']","['dica', 'relação', 'produção']",46.0,150.0,56.0,181.0,56.0,2,56.0,aumento_producao
qual a média de produtividade?,produtividade,qual a média de produtividade?,"['qual', 'a', 'média', 'de', 'produtividade']","['média', 'produtividade']","['médio', 'produtividade']",145.0,145.0,145.0,145.0,145.0,5,145.0,produtividade
tendência de arrecadação,arrecadacao_imposto,tendência de arrecadação,"['tendência', 'de', 'arrecadação']","['tendência', 'arrecadação']","['tendência', 'arrecadação']",35.0,35.0,35.0,35.0,35.0,5,35.0,arrecadacao_imposto
quero aumentar minha produtividade,aumento_producao,quero aumentar minha produtividade,"['quero', 'aumentar', 'minha', 'produtividade']","['quero', 'aumentar', 'produtividade']","['querer', 'aumentar', 'produtividade']",53.0,53.0,53.0,53.0,53.0,5,53.0,aumento_producao
quero saber sobre os aluguéis de produtos,venda_aluguel,quero saber sobre os aluguéis de produtos,"['quero', 'saber', 'sobre', 'os', 'aluguéis', 'de', 'produtos']","['quero', 'saber', 'sobre', 'aluguéis', 'produtos']","['querer', 'saber', 'sobrar', 'aluguel', 'produto']",182.0,182.0,187.0,197.0,187.0,2,182.0,venda_aluguel
aconselhamento para alteração de taxas,alteracao_taxa,aconselhamento para alteração de taxas,"['aconselhamento', 'para', 'alteração', 'de', 'taxas']","['aconselhamento', 'alteração', 'taxas']","['aconselhamento', 'alteração', 'taxar']",2.0,2.0,11.0,2.0,9.0,3,2.0,alteracao_taxa
gostaria de saber sobre as tendências de poluição,poluicao,gostaria de saber sobre as tendências de poluição,"['gostaria', 'de', 'saber', 'sobre', 'as', 'tendências', 'de', 'poluição']","['gostaria', 'saber', 'sobre', 'tendências', 'poluição']","['gostar', 'saber', 'sobrar', 'tendência', 'poluição']",101.0,93.0,93.0,93.0,93.0,4,93.0,poluicao
tendência de produção orgânica,producao_organica,tendência de produção orgânica,"['tendência', 'de', 'produção', 'orgânica']","['tendência', 'produção', 'orgânica']","['tendência', 'produção', 'orgânico']",136.0,136.0,136.0,136.0,136.0,5,136.0,producao_organica
quero saber sobre as tendências de produção,produtividade,quero saber sobre as tendências de produção,"['quero', 'saber', 'sobre', 'as', 'tendências', 'de', 'produção']","['quero', 'saber', 'sobre', 'tendências', 'produção']","['querer', 'saber', 'sobrar', 'tendência', 'produção']",169.0,169.0,169.0,197.0,169.0,4,169.0,uso_produtos
decremento de poluição,diminuicao_poluicao,decremento de poluição,"['decremento', 'de', 'poluição']","['decremento', 'poluição']","['decremento', 'poluição']",90.0,90.0,90.0,90.0,90.0,5,90.0,poluicao
sou fiscal,apresentacao_agente_fiscal,sou fiscal,"['sou', 'fiscal']",['fiscal'],['fiscal'],21.0,21.0,21.0,21.0,21.0,5,21.0,apresentacao_agente_fiscal
"oi, estou bem e você?",apresentacao,"oi, estou bem e você?","['oi', 'estou', 'bem', 'e', 'você']","['oi', 'bem']","['oi', 'bem']",13.0,13.0,13.0,13.0,13.0,5,13.0,apresentacao
gostaria de saber sobre os índices de poluição,poluicao,gostaria de saber sobre os índices de poluição,"['gostaria', 'de', 'saber', 'sobre', 'os', 'índices', 'de', 'poluição']","['gostaria', 'saber', 'sobre', 'índices', 'poluição']","['gostar', 'saber', 'sobrar', 'índice', 'poluição']",92.0,92.0,92.0,92.0,92.0,5,92.0,poluicao
quanto irei poluir?,previsao_poluicao,quanto irei poluir?,"['quanto', 'irei', 'poluir']","['quanto', 'irei', 'poluir']","['quantum', 'irar', 'poluir']",115.0,115.0,115.0,113.0,115.0,4,115.0,previsao_poluicao
o que os empresários estão vendendo?,venda_aluguel,o que os empresários estão vendendo?,"['o', 'que', 'os', 'empresários', 'estão', 'vendendo']","['empresários', 'vendendo']","['empresário', 'vender']",199.0,185.0,199.0,185.0,106.0,2,199.0,venda_aluguel
gostaria de saber quantos agricultores estão produzindo organicamente,producao_organica,gostaria de saber quantos agricultores estão produzindo organicamente,"['gostaria', 'de', 'saber', 'quantos', 'agricultores', 'estão', 'produzindo', 'organicamente']","['gostaria', 'saber', 'quantos', 'agricultores', 'produzindo', 'organicamente']","['gostar', 'saber', 'quanto', 'agricultor', 'produzir', 'organicamente']",129.0,129.0,129.0,129.0,129.0,5,129.0,producao_organica
gostaria de saber sobre as tendências quanto aos preços,precos,gostaria de saber sobre as tendências quanto aos preços,"['gostaria', 'de', 'saber', 'sobre', 'as', 'tendências', 'quanto', 'a', 'os', 'preços']","['gostaria', 'saber', 'sobre', 'tendências', 'quanto', 'preços']","['gostar', 'saber', 'sobrar', 'tendência', 'quantum', 'preço']",100.0,100.0,100.0,100.0,100.0,5,100.0,precos
conselho para alterar taxas,alteracao_taxa,conselho para alterar taxas,"['conselho', 'para', 'alterar', 'taxas']","['conselho', 'alterar', 'taxas']","['conselho', 'alterar', 'taxar']",0.0,0.0,0.0,6.0,0.0,4,0.0,alteracao_taxa
o que faço para diminuir minha poluição?,diminuicao_poluicao,o que faço para diminuir minha poluição?,"['o', 'que', 'faço', 'para', 'diminuir', 'minha', 'poluição']","['faço', 'diminuir', 'poluição']","['fazer', 'diminuir', 'poluição']",66.0,66.0,64.0,66.0,64.0,3,66.0,diminuicao_poluicao
gostaria de um conselho para implementar tratamento ambiental,tratamento_ambiental,gostaria de um conselho para implementar tratamento ambiental,"['gostaria', 'de', 'um', 'conselho', 'para', 'implementar', 'tratamento', 'ambiental']","['gostaria', 'conselho', 'implementar', 'tratamento', 'ambiental']","['gostar', 'conselho', 'implementar', 'tratamento', 'ambiental']",165.0,165.0,165.0,165.0,165.0,5,165.0,tratamento_ambiental
me diz o quanto vou poluir,previsao_poluicao,me diz o quanto vou poluir,"['me', 'diz', 'o', 'quanto', 'vou', 'poluir']","['diz', 'quanto', 'vou', 'poluir']","['dizer', 'quantum', 'ir', 'poluir']",114.0,121.0,121.0,121.0,121.0,4,121.0,previsao_poluicao
eu desempenho o papel do agente empresário,apresentacao_agente_empresario,eu desempenho o papel do agente empresário,"['eu', 'desempenho', 'o', 'papel', 'do', 'agente', 'empresário']","['desempenho', 'papel', 'agente', 'empresário']","['desempenhar', 'papel', 'agente', 'empresário']",31.0,29.0,32.0,32.0,29.0,2,29.0,apresentacao_agente_fiscal
previsão de dinherio,previsao_saldo,previsão de dinherio,"['previsão', 'de', 'dinherio']","['previsão', 'dinherio']","['previsão', 'dinherio']",122.0,118.0,109.0,118.0,118.0,3,118.0,previsao_saldo
"oi, tudo bem e contigo?",apresentacao,"oi, tudo bem e contigo?","['oi', 'tudo', 'bem', 'e', 'contigo']","['oi', 'tudo', 'bem', 'contigo']","['oi', 'tudo', 'bem', 'comigo']",14.0,14.0,14.0,14.0,14.0,5,14.0,apresentacao
diminuir as multas,diminuicao_poluicao,diminuir as multas,"['diminuir', 'as', 'multas']","['diminuir', 'multas']","['diminuir', 'multar']",79.0,60.0,60.0,79.0,60.0,3,60.0,diminuicao_poluicao
como está os níveis de produtividade,produtividade,como está os níveis de produtividade,"['como', 'está', 'os', 'níveis', 'de', 'produtividade']","['níveis', 'produtividade']","['nível', 'produtividade']",146.0,149.0,146.0,149.0,146.0,3,146.0,produtividade
com qual preço os empresários então vendendo os seus produtos?,precos,com qual preço os empresários então vendendo os seus produtos?,"['com', 'qual', 'preço', 'os', 'empresários', 'então', 'vendendo', 'os', 'seus', 'produtos']","['preço', 'empresários', 'então', 'vendendo', 'produtos']","['preço', 'empresário', 'então', 'vender', 'produto']",107.0,107.0,107.0,107.0,107.0,5,107.0,precos
gostaria de saber quantos agricultores estão plantando de forma orgânica,producao_organica,gostaria de saber quantos agricultores estão plantando de forma orgânica,"['gostaria', 'de', 'saber', 'quantos', 'agricultores', 'estão', 'plantando', 'de', 'forma', 'orgânica']","['gostaria', 'saber', 'quantos', 'agricultores', 'plantando', 'forma', 'orgânica']","['gostar', 'saber', 'quanto', 'agricultor', 'plantar', 'formar', 'orgânico']",128.0,128.0,130.0,128.0,128.0,4,128.0,producao_organica
dicas em relação a alteração de taxas,alteracao_taxa,dicas em relação a alteração de taxas,"['dicas', 'em', 'relação', 'a', 'alteração', 'de', 'taxas']","['dicas', 'relação', 'alteração', 'taxas']","['dica', 'relação', 'alteração', 'taxar']",5.0,10.0,5.0,10.0,5.0,3,5.0,alteracao_taxa
queria saber sobre as vendas,venda_aluguel,queria saber sobre as vendas,"['queria', 'saber', 'sobre', 'as', 'vendas']","['queria', 'saber', 'sobre', 'vendas']","['querer', 'saber', 'sobrar', 'vender']",186.0,186.0,186.0,186.0,186.0,5,186.0,venda_aluguel
como está a poluição dos agricultores e empresários?,poluicao,como está a poluição dos agricultores e empresários?,"['como', 'está', 'a', 'poluição', 'dos', 'agricultores', 'e', 'empresários']","['poluição', 'agricultores', 'empresários']","['poluição', 'agricultor', 'empresário']",87.0,88.0,88.0,88.0,88.0,4,88.0,poluicao
"oi, tudo bem e contigo?",apresentacao,"oi, tudo bem e contigo?","['oi', 'tudo', 'bem', 'e', 'contigo']","['oi', 'tudo', 'bem', 'contigo']","['oi', 'tudo', 'bem', 'comigo']",12.0,12.0,12.0,12.0,12.0,5,12.0,apresentacao
previsão de saldo,previsao_saldo,previsão de saldo,"['previsão', 'de', 'saldo']","['previsão', 'saldo']","['previsão', 'saldar']",110.0,110.0,110.0,110.0,110.0,5,110.0,
tendência de venda,venda_aluguel,tendência de venda,"['tendência', 'de', 'venda']","['tendência', 'venda']","['tendência', 'vender']",191.0,191.0,191.0,191.0,191.0,5,191.0,venda_aluguel
quero saber sobre as vendas,venda_aluguel,quero saber sobre as vendas,"['quero', 'saber', 'sobre', 'as', 'vendas']","['quero', 'saber', 'sobre', 'vendas']","['querer', 'saber', 'sobrar', 'vender']",184.0,184.0,184.0,184.0,184.0,5,184.0,venda_aluguel
o meu agente é prefeito,apresentacao_agente_prefeito,o meu agente é prefeito,"['o', 'meu', 'agente', 'é', 'prefeito']","['agente', 'prefeito']","['agente', 'prefeito']",19.0,19.0,19.0,19.0,19.0,5,19.0,apresentacao_agente_vereador
qual é a porcentagem de lotes de terra com produção orgânica?,producao_organica,qual é a porcentagem de lotes de terra com produção orgânica?,"['qual', 'é', 'a', 'porcentagem', 'de', 'lotes', 'de', 'terra', 'com', 'produção', 'orgânica']","['porcentagem', 'lotes', 'terra', 'produção', 'orgânica']","['porcentagem', 'lote', 'terra', 'produção', 'orgânico']",175.0,175.0,175.0,175.0,175.0,5,175.0,uso_produtos
quero saber sobre as tendências em relação as compras,uso_produtos,quero saber sobre as tendências em relação as compras,"['quero', 'saber', 'sobre', 'as', 'tendências', 'em', 'relação', 'as', 'compras']","['quero', 'saber', 'sobre', 'tendências', 'relação', 'compras']","['querer', 'saber', 'sobrar', 'tendência', 'relação', 'comprar']",184.0,184.0,142.0,142.0,184.0,3,184.0,venda_aluguel
multas,multa,multas,['multas'],['multas'],['multar'],59.0,78.0,59.0,74.0,59.0,3,59.0,diminuicao_poluicao
índices de produtividade,produtividade,índices de produtividade,"['índices', 'de', 'produtividade']","['índices', 'produtividade']","['índice', 'produtividade']",140.0,148.0,140.0,140.0,140.0,4,140.0,produtividade
quanto a prefeitura tem ganhado com impostos,arrecadacao_imposto,quanto a prefeitura tem ganhado com impostos,"['quanto', 'a', 'prefeitura', 'tem', 'ganhado', 'com', 'impostos']","['quanto', 'prefeitura', 'ganhado', 'impostos']","['quantum', 'prefeitura', 'ganhar', 'imposto']",34.0,34.0,34.0,34.0,34.0,5,34.0,arrecadacao_imposto
o meu agente é fiscal,apresentacao_agente_fiscal,o meu agente é fiscal,"['o', 'meu', 'agente', 'é', 'fiscal']","['agente', 'fiscal']","['agente', 'fiscal']",26.0,26.0,26.0,29.0,26.0,4,26.0,apresentacao_agente_fiscal
quero ajuda para aumentar minha produtividade,aumento_producao,quero ajuda para aumentar minha produtividade,"['quero', 'ajuda', 'para', 'aumentar', 'minha', 'produtividade']","['quero', 'ajuda', 'aumentar', 'produtividade']","['querer', 'ajudar', 'aumentar', 'produtividade']",45.0,45.0,45.0,45.0,45.0,5,45.0,aumento_producao
como está a poluição dos produtores?,poluicao,como está a poluição dos produtores?,"['como', 'está', 'a', 'poluição', 'dos', 'produtores']","['poluição', 'produtores']","['poluição', 'produtor']",88.0,88.0,88.0,88.0,88.0,5,88.0,poluicao
quero saber sobre os preços vendidos pelos empresários,precos,quero saber sobre os preços vendidos pelos empresários,"['quero', 'saber', 'sobre', 'os', 'preços', 'vendidos', 'pelos', 'empresários']","['quero', 'saber', 'sobre', 'preços', 'vendidos', 'empresários']","['querer', 'saber', 'sobrar', 'preço', 'vendido', 'empresário']",95.0,95.0,95.0,95.0,95.0,5,95.0,precos
gostaria saber sobre a tendência de agricultores multados,multa,gostaria saber sobre a tendência de agricultores multados,"['gostaria', 'saber', 'sobre', 'a', 'tendência', 'de', 'agricultores', 'multados']","['gostaria', 'saber', 'sobre', 'tendência', 'agricultores', 'multados']","['gostar', 'saber', 'sobrar', 'tendência', 'agricultor', 'multar']",77.0,77.0,77.0,77.0,77.0,5,77.0,multa
quero saber sobre as tendências dos índices de poluição dos agricultores e empresários,poluicao,quero saber sobre as tendências dos índices de poluição dos agricultores e empresários,"['quero', 'saber', 'sobre', 'as', 'tendências', 'dos', 'índices', 'de', 'poluição', 'dos', 'agricultores', 'e', 'empresários']","['quero', 'saber', 'sobre', 'tendências', 'índices', 'poluição', 'agricultores', 'empresários']","['querer', 'saber', 'sobrar', 'tendência', 'índice', 'poluição', 'agricultor', 'empresário']",38.0,93.0,93.0,93.0,63.0,3,93.0,poluicao
dica para tratamento,tratamento_ambiental,dica para tratamento,"['dica', 'para', 'tratamento']","['dica', 'tratamento']","['dica', 'tratamento']",163.0,163.0,163.0,163.0,163.0,5,163.0,tratamento_ambiental
os produtores estão poluindo?,poluicao,os produtores estão poluindo?,"['os', 'produtores', 'estão', 'poluindo']","['produtores', 'poluindo']","['produtor', 'poluir']",82.0,82.0,85.0,82.0,85.0,3,82.0,poluicao
sou agricultor,apresentacao_agente_agricultor,sou agricultor,"['sou', 'agricultor']",['agricultor'],['agricultor'],171.0,23.0,171.0,23.0,171.0,3,171.0,uso_produtos
quero ajuda para alteração dos impostos,alteracao_taxa,quero ajuda para alteração dos impostos,"['quero', 'ajuda', 'para', 'alteração', 'dos', 'impostos']","['quero', 'ajuda', 'alteração', 'impostos']","['querer', 'ajudar', 'alteração', 'imposto']",9.0,9.0,4.0,4.0,4.0,3,4.0,alteracao_taxa
qual será o saldo com base em minhas ações?,previsao_saldo,qual será o saldo com base em minhas ações?,"['qual', 'será', 'o', 'saldo', 'com', 'base', 'em', 'minhas', 'ações']","['saldo', 'base', 'ações']","['saldar', 'base', 'ações']",123.0,29.0,29.0,123.0,29.0,3,29.0,apresentacao_agente_fiscal
quais os índices de multa com base na rodada?,multa,quais os índices de multa com base na rodada?,"['quais', 'os', 'índices', 'de', 'multa', 'com', 'base', 'na', 'rodada']","['quais', 'índices', 'multa', 'base', 'rodada']","['qual', 'índice', 'multar', 'base', 'rodar']",76.0,76.0,76.0,76.0,76.0,5,76.0,multa
quero saber quanto emitirei de poluição,previsao_poluicao,quero saber quanto emitirei de poluição,"['quero', 'saber', 'quanto', 'emitirei', 'de', 'poluição']","['quero', 'saber', 'quanto', 'emitirei', 'poluição']","['querer', 'saber', 'quantum', 'emitir', 'poluição']",121.0,63.0,63.0,63.0,63.0,4,63.0,diminuicao_poluicao
gostaria de saber sobre os preço dos produtos,precos,gostaria de saber sobre os preço dos produtos,"['gostaria', 'de', 'saber', 'sobre', 'os', 'preço', 'dos', 'produtos']","['gostaria', 'saber', 'sobre', 'preço', 'produtos']","['gostar', 'saber', 'sobrar', 'preço', 'produto']",103.0,103.0,103.0,103.0,103.0,5,103.0,precos
tendência de produção,produtividade,tendência de produção,"['tendência', 'de', 'produção']","['tendência', 'produção']","['tendência', 'produção']",133.0,133.0,133.0,149.0,143.0,3,133.0,producao_organica
eu gostaria de fazer uma predição de poluição para o próximo ano.,,,,,"['gostar', 'fazer', 'predição', 'poluição', 'próximo', 'ano']",,,,,,0,,
o que fazer para reduzir o valor pago em multas?,diminuicao_poluicao,o que fazer para reduzir o valor pago em multas?,"['o', 'que', 'fazer', 'para', 'reduzir', 'o', 'valor', 'pago', 'em', 'multas']","['fazer', 'reduzir', 'valor', 'pago', 'multas']","['fazer', 'reduzir', 'valor', 'pagar', 'multar']",58.0,58.0,58.0,58.0,58.0,5,58.0,diminuicao_poluicao
gostaria de pagar menos valor em multas,diminuicao_poluicao,gostaria de pagar menos valor em multas,"['gostaria', 'de', 'pagar', 'menos', 'valor', 'em', 'multas']","['gostaria', 'pagar', 'menos', 'valor', 'multas']","['gostar', 'pagar', 'menos', 'valor', 'multar']",60.0,60.0,60.0,60.0,60.0,5,60.0,diminuicao_poluicao
tendência de arrecadação de taxas,arrecadacao_imposto,tendência de arrecadação de taxas,"['tendência', 'de', 'arrecadação', 'de', 'taxas']","['tendência', 'arrecadação', 'taxas']","['tendência', 'arrecadação', 'taxar']",36.0,36.0,36.0,36.0,36.0,5,36.0,arrecadacao_imposto
compras dos agricultores,uso_produtos,compras dos agricultores,"['compras', 'dos', 'agricultores']","['compras', 'agricultores']","['comprar', 'agricultor']",172.0,172.0,172.0,172.0,172.0,5,172.0,uso_produtos
qual é a tendência de produção orgânica?,producao_organica,qual é a tendência de produção orgânica?,"['qual', 'é', 'a', 'tendência', 'de', 'produção', 'orgânica']","['tendência', 'produção', 'orgânica']","['tendência', 'produção', 'orgânico']",133.0,133.0,133.0,133.0,133.0,5,133.0,producao_organica
quero saber a previsão de saldo,previsao_saldo,quero saber a previsão de saldo,"['quero', 'saber', 'a', 'previsão', 'de', 'saldo']","['quero', 'saber', 'previsão', 'saldo']","['querer', 'saber', 'previsão', 'saldar']",110.0,126.0,110.0,126.0,126.0,3,126.0,previsao_saldo
tchau,encerramento_nao,tchau,['tchau'],['tchau'],['tchau'],67.0,67.0,67.0,67.0,67.0,5,67.0,encerramento_nao
utilização de produtos nos lotes de terra,uso_produtos,utilização de produtos nos lotes de terra,"['utilização', 'de', 'produtos', 'nos', 'lotes', 'de', 'terra']","['utilização', 'produtos', 'lotes', 'terra']","['utilização', 'produto', 'lote', 'terra']",176.0,176.0,132.0,132.0,176.0,3,176.0,uso_produtos
